,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20150526,IF1506,,,IF1507,,1,1.0
20150527,IF1506,,,IF1507,,1,1.0
20150528,IF1506,-1,,IF1507,-1,,
20150529,IF1506,,,IF1507,,,
20150601,IF1506,1,,IF1507,1,,
20150602,IF1506,,,IF1507,,,
20150603,IF1506,,,IF1507,,,
20150604,IF1506,,,IF1507,,,
20150605,IF1506,,,IF1507,,,
20150608,IF1506,,,IF1507,,1,
20150609,IF1506,,,IF1507,,,
20150610,IF1506,,,IF1507,,,
20150611,IF1506,,,IF1507,,,
20150612,IF1506,,,IF1507,,,
20150615,IF1506,-1,,IF1507,-1,,
20150616,IF1506,,,IF1507,,,
20150617,IF1506,,,IF1507,,,
20150618,IF1506,-1,,IF1507,-1,,
20150619,IF1506,-1,,IF1507,-1,,
20150623,IF1507,1,,IF1508,1,,-1.0
20150624,IF1507,,,IF1508,,,
20150625,IF1507,-1,,IF1508,-1,,
20150626,IF1507,-1,,IF1508,-1,,
20150629,IF1507,-1,,IF1508,-1,,
20150630,IF1507,1,,IF1508,1,,
20150701,IF1507,-1,,IF1508,-1,,
20150702,IF1507,,,IF1508,,,-1.0
20150703,IF1507,-1,,IF1508,-1,,-1.0
20150706,IF1507,-1,,IF1508,-1,,-1.0
20150707,IF1507,-1,,IF1508,-1,,-1.0
20150708,IF1507,-1,,IF1508,-1,,-1.0
20150709,IF1507,1,,IF1508,1,,
20150710,IF1507,1,,IF1508,1,,
20150713,IF1507,,,IF1508,,,
20150714,IF1507,,,IF1508,-1,,
20150715,IF1507,-1,,IF1508,-1,,
20150716,IF1507,1,,IF1508,1,,
20150717,IF1507,1,,IF1508,1,,
20150720,IF1508,-1,,IF1509,-1,,
20150721,IF1508,,,IF1509,,,
20150722,IF1508,,,IF1509,,,
20150723,IF1508,1,,IF1509,1,,
20150724,IF1508,-1,,IF1509,-1,,
20150727,IF1508,-1,,IF1509,-1,,
20150728,IF1508,,,IF1509,,,
20150729,IF1508,1,,IF1509,1,,
20150730,IF1508,-1,,IF1509,-1,,
20150731,IF1508,,,IF1509,,,
20150803,IF1508,,,IF1509,,,-1.0
20150804,IF1508,1,,IF1509,1,,
20150805,IF1508,,,IF1509,,,
20150806,IF1508,,,IF1509,,,
20150807,IF1508,,,IF1509,1,,
20150810,IF1508,1,,IF1509,1,,
20150811,IF1508,,,IF1509,,1,1.0
20150812,IF1508,,,IF1509,,1,1.0
20150813,IF1508,,,IF1509,,,1.0
20150814,IF1508,,,IF1509,,,
20150817,IF1508,,,IF1509,,,
20150818,IF1508,-1,,IF1509,-1,,
20150819,IF1508,,,IF1509,,,
20150820,IF1508,,,IF1509,,,
20150821,IF1508,,,IF1509,-1,,-1.0
20150824,IF1509,-1,,IF1510,-1,,-1.0
20150825,IF1509,-1,,IF1510,-1,,-1.0
20150826,IF1509,-1,,IF1510,-1,,-1.0
20150827,IF1509,1,,IF1510,1,,-1.0
20150828,IF1509,1,,IF1510,,,
20150831,IF1509,-1,,IF1510,-1,,
20150901,IF1509,-1,,IF1510,-1,,
20150902,IF1509,,,IF1510,,,
20150907,IF1509,,,IF1510,1,,
20150908,IF1509,1,,IF1510,1,,
20150909,IF1509,,,IF1510,,,
20150910,IF1509,,,IF1510,,,
20150911,IF1509,,,IF1510,,,
20150914,IF1509,-1,,IF1510,-1,,
20150915,IF1509,,,IF1510,,,
20150916,IF1509,1,,IF1510,1,,
20150917,IF1509,,,IF1510,,,
20150918,IF1509,,,IF1510,,,
20150921,IF1510,1,,IF1511,,,
20150922,IF1510,,,IF1511,,,
20150923,IF1510,,,IF1511,,,
20150924,IF1510,,,IF1511,,,
20150925,IF1510,,,IF1511,-1,,
20150928,IF1510,,,IF1511,,,
20150929,IF1510,,,IF1511,,,
20150930,IF1510,,,IF1511,,,-1.0
20151008,IF1510,,,IF1511,,,
20151009,IF1510,,,IF1511,,,
20151012,IF1510,,,IF1511,1,,
20151013,IF1510,,,IF1511,,,
20151014,IF1510,,,IF1511,,,
20151015,IF1510,1,,IF1511,1,1,1.0
20151016,IF1510,,,IF1511,,1,1.0
20151019,IF1511,,,IF1512,,,
20151020,IF1511,,,IF1512,,,1.0
20151021,IF1511,-1,,IF1512,-1,,
20151022,IF1511,,,IF1512,,,
20151023,IF1511,,,IF1512,,,
20151026,IF1511,,,IF1512,,,
20151027,IF1511,,,IF1512,,,
20151028,IF1511,,,IF1512,,,
20151029,IF1511,,,IF1512,,,
20151030,IF1511,,,IF1512,,,
20151102,IF1511,,,IF1512,,,
20151103,IF1511,,,IF1512,,,
20151104,IF1511,1,,IF1512,1,,
20151105,IF1511,,,IF1512,,,
20151106,IF1511,1,,IF1512,1,,
20151109,IF1511,,,IF1512,,,
20151110,IF1511,,,IF1512,,,
20151111,IF1511,,,IF1512,,1,1.0
20151112,IF1511,,,IF1512,,,
20151113,IF1511,,,IF1512,,,
20151116,IF1511,,,IF1512,,,
20151117,IF1511,,,IF1512,,,
20151118,IF1511,,,IF1512,,,
20151119,IF1511,,,IF1512,,,
20151120,IF1511,,,IF1512,,,
20151123,IF1512,,,IF1601,,,
20151124,IF1512,,,IF1601,,,
20151125,IF1512,,,IF1601,,,
20151126,IF1512,,,IF1601,,,
20151127,IF1512,-1,,IF1601,-1,,
20151130,IF1512,,,IF1601,,,
20151201,IF1512,,,IF1601,,,
20151202,IF1512,1,,IF1601,1,,
20151203,IF1512,,,IF1601,,,
20151204,IF1512,,,IF1601,,,
20151207,IF1512,,,IF1601,,,
20151208,IF1512,,,IF1601,,,
20151209,IF1512,,,IF1601,,,
20151210,IF1512,,,IF1601,,,
20151211,IF1512,,,IF1601,,,
20151214,IF1512,1,,IF1601,1,,
20151215,IF1512,,,IF1601,,,
20151216,IF1512,,,IF1601,,,
20151217,IF1512,,,IF1601,,,
20151218,IF1512,,,IF1601,,,1.0
20151221,IF1601,1,,IF1602,1,,1.0
20151222,IF1601,,,IF1602,,,1.0
20151223,IF1601,,,IF1602,,,1.0
20151224,IF1601,,,IF1602,,,
20151225,IF1601,,,IF1602,,,
20151228,IF1601,-1,,IF1602,-1,,
20151229,IF1601,,,IF1602,,,
20151230,IF1601,,,IF1602,,,
20151231,IF1601,,,IF1602,,,
20160104,IF1601,-1,,IF1602,-1,,
20160105,IF1601,,,IF1602,,,-1.0
20160106,IF1601,,,IF1602,,,-1.0
20160107,IF1601,-1,,IF1602,-1,,-1.0
20160108,IF1601,,,IF1602,,,-1.0
20160111,IF1601,-1,,IF1602,-1,,-1.0
20160112,IF1601,,,IF1602,,,-1.0
20160113,IF1601,-1,,IF1602,,,-1.0
20160114,IF1601,1,,IF1602,1,,-1.0
20160115,IF1601,,,IF1602,-1,,-1.0
20160118,IF1602,,,IF1603,,,-1.0
20160119,IF1602,1,,IF1603,1,,
20160120,IF1602,,,IF1603,,,
20160121,IF1602,,,IF1603,,,
20160122,IF1602,,,IF1603,,,
20160125,IF1602,,,IF1603,,,
20160126,IF1602,-1,,IF1603,-1,,
20160127,IF1602,,,IF1603,,,-1.0
20160128,IF1602,,,IF1603,,,-1.0
20160129,IF1602,1,,IF1603,1,,-1.0
20160201,IF1602,,,IF1603,,,
20160202,IF1602,,,IF1603,1,,
20160203,IF1602,,,IF1603,,,
20160204,IF1602,,,IF1603,,,
20160205,IF1602,,,IF1603,,,
20160215,IF1602,,,IF1603,,,
20160216,IF1602,,,IF1603,,,
20160217,IF1602,,,IF1603,,,
20160218,IF1602,,,IF1603,,,
20160219,IF1602,,,IF1603,,,
20160222,IF1603,,,IF1604,,,
20160223,IF1603,,,IF1604,,,
20160224,IF1603,,,IF1604,,,
20160225,IF1603,-1,,IF1604,-1,,
20160226,IF1603,,,IF1604,,,
20160229,IF1603,-1,,IF1604,-1,,
20160301,IF1603,,,IF1604,,,
20160302,IF1603,1,,IF1604,1,,
20160303,IF1603,,,IF1604,,,
20160304,IF1603,,,IF1604,,,
20160307,IF1603,,,IF1604,,,
20160308,IF1603,,,IF1604,,,
20160309,IF1603,,,IF1604,,,
20160310,IF1603,,,IF1604,,,
20160311,IF1603,,,IF1604,,,
20160314,IF1603,,,IF1604,,,
20160315,IF1603,,,IF1604,,,
20160316,IF1603,,,IF1604,,,
20160317,IF1603,,,IF1604,,,
20160318,IF1603,,,IF1604,,,
20160321,IF1604,,,IF1605,,,1.0
20160322,IF1604,,,IF1605,,,1.0
20160323,IF1604,,,IF1605,,,1.0
20160324,IF1604,,,IF1605,,,
20160325,IF1604,,,IF1605,,,
20160328,IF1604,,,IF1605,,,
20160329,IF1604,,,IF1605,,,-1.0
20160330,IF1604,,,IF1605,,,
20160331,IF1604,,,IF1605,,,
20160401,IF1604,,,IF1605,,,
20160405,IF1604,,,IF1605,,,
20160406,IF1604,,,IF1605,,,
20160407,IF1604,,,IF1605,,,
20160408,IF1604,,,IF1605,,,
20160411,IF1604,,,IF1605,,,
20160412,IF1604,,,IF1605,,,
20160413,IF1604,,,IF1605,,,
20160414,IF1604,,,IF1605,,,
20160415,IF1604,,,IF1605,,,
20160418,IF1605,,,IF1606,,,
20160419,IF1605,,,IF1606,,,
20160420,IF1605,-1,,IF1606,-1,,
20160421,IF1605,,,IF1606,,,
20160422,IF1605,,,IF1606,,,
20160425,IF1605,,,IF1606,,,-1.0
20160426,IF1605,,,IF1606,,,
20160427,IF1605,,,IF1606,,,
20160428,IF1605,,,IF1606,,,
20160429,IF1605,,,IF1606,,,
20160503,IF1605,,,IF1606,,,
20160504,IF1605,,,IF1606,,,
20160505,IF1605,,,IF1606,,,
20160506,IF1605,-1,,IF1606,-1,,
20160509,IF1605,,,IF1606,,,
20160510,IF1605,,,IF1606,,,
20160511,IF1605,,,IF1606,,,
20160512,IF1605,,,IF1606,,,
20160513,IF1605,,,IF1606,,,
20160516,IF1605,,,IF1606,,,
20160517,IF1605,,,IF1606,,,
20160518,IF1605,,,IF1606,,,
20160519,IF1605,,,IF1606,,,
20160520,IF1605,,,IF1606,,,
20160523,IF1606,,,IF1607,,,
20160524,IF1606,,,IF1607,,,
20160525,IF1606,,,IF1607,,,
20160526,IF1606,,,IF1607,,,
20160527,IF1606,,,IF1607,,,
20160530,IF1606,,,IF1607,,,
20160531,IF1606,1,,IF1607,1,,
20160601,IF1606,,,IF1607,,,
20160602,IF1606,,,IF1607,,,
20160603,IF1606,,,IF1607,,,1.0
20160606,IF1606,,,IF1607,,,
20160607,IF1606,,,IF1607,,,
20160608,IF1606,,,IF1607,,,
20160613,IF1606,-1,,IF1607,-1,,
20160614,IF1606,,,IF1607,,,
20160615,IF1606,,,IF1607,,,
20160616,IF1606,,,IF1607,,,
20160617,IF1606,,,IF1607,,,
20160620,IF1607,,,IF1608,,,
20160621,IF1607,,,IF1608,,,
20160622,IF1607,,,IF1608,,,
20160623,IF1607,,,IF1608,,,
20160624,IF1607,,,IF1608,,,
20160627,IF1607,,,IF1608,,,
20160628,IF1607,,,IF1608,,,
20160629,IF1607,,,IF1608,,,
20160630,IF1607,,,IF1608,,,
20160701,IF1607,,,IF1608,,,
20160704,IF1607,,,IF1608,1,1,1.0
20160705,IF1607,,,IF1608,,1,1.0
20160706,IF1607,,,IF1608,,1,1.0
20160707,IF1607,,,IF1608,,,
20160708,IF1607,,,IF1608,,,
20160711,IF1607,,,IF1608,,,
20160712,IF1607,,,IF1608,1,,
20160713,IF1607,,,IF1608,,,
20160714,IF1607,,,IF1608,,,
20160715,IF1607,,,IF1608,,,
20160718,IF1608,,,IF1609,,,
20160719,IF1608,,,IF1609,,,
20160720,IF1608,,,IF1609,,,
20160721,IF1608,,,IF1609,,,
20160722,IF1608,,,IF1609,,,
20160725,IF1608,,,IF1609,,,
20160726,IF1608,,,IF1609,,,
20160727,IF1608,-1,,IF1609,,,
20160728,IF1608,,,IF1609,,,
20160729,IF1608,,,IF1609,,,
20160801,IF1608,,,IF1609,,,
20160802,IF1608,,,IF1609,,,
20160803,IF1608,,,IF1609,,,-1.0
20160804,IF1608,,,IF1609,,,
20160805,IF1608,,,IF1609,,,
20160808,IF1608,,,IF1609,,,
20160809,IF1608,,,IF1609,,,
20160810,IF1608,,,IF1609,,,
20160811,IF1608,,,IF1609,,,
20160812,IF1608,,,IF1609,,1,1.0
20160815,IF1608,,,IF1609,1,1,1.0
20160816,IF1608,,,IF1609,,1,1.0
20160817,IF1608,,,IF1609,,1,1.0
20160818,IF1608,,,IF1609,,,
20160819,IF1608,,,IF1609,,,
20160822,IF1609,,,IF1610,,,
20160823,IF1609,,,IF1610,,,
20160824,IF1609,,,IF1610,,,
20160825,IF1609,,,IF1610,,,
20160826,IF1609,,,IF1610,,,-1.0
20160829,IF1609,,,IF1610,,,-1.0
20160830,IF1609,,,IF1610,,,
20160831,IF1609,,,IF1610,,,
20160901,IF1609,,,IF1610,,,
20160902,IF1609,,,IF1610,,,
20160905,IF1609,,,IF1610,,,
20160906,IF1609,,,IF1610,,,
20160907,IF1609,,,IF1610,,,
20160908,IF1609,,,IF1610,,,
20160909,IF1609,,,IF1610,,,
20160912,IF1609,,,IF1610,,,
20160913,IF1609,,,IF1610,,,
20160914,IF1609,,,IF1610,,,
20160919,IF1609,,,IF1610,,,
20160920,IF1610,,,IF1611,,,
20160921,IF1610,,,IF1611,,,
20160922,IF1610,,,IF1611,,,
20160923,IF1610,,,IF1611,,,
20160926,IF1610,,,IF1611,,,
20160927,IF1610,,,IF1611,,,
20160928,IF1610,,,IF1611,,,
20160929,IF1610,,,IF1611,,,
20160930,IF1610,,,IF1611,,,
20161010,IF1610,,,IF1611,,,
20161011,IF1610,,,IF1611,,,
20161012,IF1610,,,IF1611,,,
20161013,IF1610,,,IF1611,,,
20161014,IF1610,,,IF1611,,,
20161017,IF1610,,,IF1611,,,
20161018,IF1610,,,IF1611,,,
20161019,IF1610,,,IF1611,,,
20161020,IF1610,,,IF1611,,,
20161021,IF1610,,,IF1611,,,
20161024,IF1611,,,IF1612,,,
20161025,IF1611,,,IF1612,,,
20161026,IF1611,,,IF1612,,,
20161027,IF1611,,,IF1612,,,
20161028,IF1611,,,IF1612,,,
20161031,IF1611,,,IF1612,,,
20161101,IF1611,,,IF1612,,,
20161102,IF1611,,,IF1612,,,
20161103,IF1611,,,IF1612,,,
20161104,IF1611,,,IF1612,,,
20161107,IF1611,,,IF1612,,,
20161108,IF1611,,,IF1612,,,
20161109,IF1611,,,IF1612,,,
20161110,IF1611,,,IF1612,,,
20161111,IF1611,,,IF1612,,,
20161114,IF1611,,,IF1612,,,
20161115,IF1611,,,IF1612,,,
20161116,IF1611,,,IF1612,,,
20161117,IF1611,,,IF1612,,,
20161118,IF1611,,,IF1612,,,
20161121,IF1612,,,IF1701,,,
20161122,IF1612,,,IF1701,,,
20161123,IF1612,,,IF1701,,,
20161124,IF1612,,,IF1701,,,
20161125,IF1612,,,IF1701,,,
20161128,IF1612,,,IF1701,,,1.0
20161129,IF1612,,,IF1701,,1,1.0
20161130,IF1612,,,IF1701,,,
20161201,IF1612,,,IF1701,,,
20161202,IF1612,,,IF1701,,,
20161205,IF1612,,,IF1701,,,
20161206,IF1612,,,IF1701,,,
20161207,IF1612,,,IF1701,,,
20161208,IF1612,,,IF1701,,,
20161209,IF1612,,,IF1701,,,
20161212,IF1612,-1,,IF1701,-1,,
20161213,IF1612,,,IF1701,,,
20161214,IF1612,,,IF1701,,,
20161215,IF1612,,,IF1701,,,
20161216,IF1612,,,IF1701,,,
20161219,IF1701,,,IF1702,,,-1.0
20161220,IF1701,,,IF1702,,,-1.0
20161221,IF1701,,,IF1702,,,
20161222,IF1701,,,IF1702,,,
20161223,IF1701,,,IF1702,,,
20161226,IF1701,,,IF1702,,,
20161227,IF1701,,,IF1702,,,
20161228,IF1701,,,IF1702,,,
20161229,IF1701,,,IF1702,,,
20161230,IF1701,,,IF1702,,,-1.0
20170103,IF1701,,,IF1702,,,
20170104,IF1701,,,IF1702,,,
20170105,IF1701,,,IF1702,,,
20170106,IF1701,,,IF1702,,,
20170109,IF1701,,,IF1702,,,
20170110,IF1701,,,IF1702,,,
20170111,IF1701,,,IF1702,,,
20170112,IF1701,,,IF1702,,,
20170113,IF1701,,,IF1702,,,
20170116,IF1701,,,IF1702,,,
20170117,IF1701,,,IF1702,,,
20170118,IF1701,,,IF1702,,,
20170119,IF1701,,,IF1702,,,
20170120,IF1701,,,IF1702,,,
20170123,IF1702,,,IF1703,,,
20170124,IF1702,,,IF1703,,,
20170125,IF1702,,,IF1703,,,
20170126,IF1702,,,IF1703,,,
20170203,IF1702,,,IF1703,,,
20170206,IF1702,,,IF1703,,,
20170207,IF1702,,,IF1703,,,
20170208,IF1702,,,IF1703,,,
20170209,IF1702,,,IF1703,,,
20170210,IF1702,,,IF1703,,,
20170213,IF1702,,,IF1703,,,
20170214,IF1702,,,IF1703,,,
20170215,IF1702,,,IF1703,,,
20170216,IF1702,,,IF1703,,,
20170217,IF1702,,,IF1703,,,
20170220,IF1703,,,IF1704,,,
20170221,IF1703,,,IF1704,,,
20170222,IF1703,,,IF1704,,,
20170223,IF1703,,,IF1704,,,
20170224,IF1703,,,IF1704,,,
20170227,IF1703,,,IF1704,,,
20170228,IF1703,,,IF1704,,,
20170301,IF1703,,,IF1704,,,
20170302,IF1703,,,IF1704,,,-1.0
20170303,IF1703,,,IF1704,,,-1.0
20170306,IF1703,,,IF1704,,,-1.0
20170307,IF1703,,,IF1704,,,
20170308,IF1703,,,IF1704,,,
20170309,IF1703,,,IF1704,,,
20170310,IF1703,,,IF1704,,,
20170313,IF1703,,,IF1704,,,
20170314,IF1703,,,IF1704,,,
20170315,IF1703,,,IF1704,,,
20170316,IF1703,,,IF1704,,,
20170317,IF1703,,,IF1704,,,
20170320,IF1704,,,IF1705,,,
20170321,IF1704,,,IF1705,,,
20170322,IF1704,,,IF1705,,,
20170323,IF1704,,,IF1705,,,
20170324,IF1704,,,IF1705,,,
20170327,IF1704,,,IF1705,,,
20170328,IF1704,,,IF1705,,,
20170329,IF1704,,,IF1705,,,
20170330,IF1704,,,IF1705,,,
20170331,IF1704,,,IF1705,,,
20170405,IF1704,,,IF1705,,,
20170406,IF1704,,,IF1705,,,
20170407,IF1704,,,IF1705,,,
20170410,IF1704,,,IF1705,,,
20170411,IF1704,,,IF1705,,,
20170412,IF1704,,,IF1705,,,
20170413,IF1704,,,IF1705,,,
20170414,IF1704,,,IF1705,,,
20170417,IF1704,,,IF1705,,,
20170418,IF1704,,,IF1705,,,
20170419,IF1704,,,IF1705,,,
20170420,IF1704,,,IF1705,,,
20170421,IF1704,,,IF1705,,,-1.0
20170424,IF1705,,,IF1706,,,
20170425,IF1705,,,IF1706,,,
20170426,IF1705,,,IF1706,,,
20170427,IF1705,,,IF1706,,,
20170428,IF1705,,,IF1706,,,
20170502,IF1705,,,IF1706,,,
20170503,IF1705,,,IF1706,,,
20170504,IF1705,,,IF1706,,,
20170505,IF1705,,,IF1706,,,
20170508,IF1705,,,IF1706,,,-1.0
20170509,IF1705,,,IF1706,,,-1.0
20170510,IF1705,,,IF1706,,,-1.0
20170511,IF1705,,,IF1706,,,-1.0
20170512,IF1705,,,IF1706,,,
20170515,IF1705,,,IF1706,,,
20170516,IF1705,,,IF1706,,,
20170517,IF1705,,,IF1706,,,
20170518,IF1705,,,IF1706,,,
20170519,IF1705,,,IF1706,,,
20170522,IF1706,,,IF1707,,,
20170523,IF1706,,,IF1707,,,
20170524,IF1706,,,IF1707,,,
20170525,IF1706,,,IF1707,1,,
20170526,IF1706,,,IF1707,,,
20170531,IF1706,,,IF1707,,,
20170601,IF1706,,,IF1707,,,
20170602,IF1706,,,IF1707,,,
20170605,IF1706,,,IF1707,,,
20170606,IF1706,,,IF1707,,,
20170607,IF1706,,,IF1707,,,
20170608,IF1706,,,IF1707,,,
20170609,IF1706,,,IF1707,,,
20170612,IF1706,,,IF1707,,,
20170613,IF1706,,,IF1707,,,
20170614,IF1706,,,IF1707,,,
20170615,IF1706,,,IF1707,,,
20170616,IF1706,,,IF1707,,,
20170619,IF1707,,,IF1708,,,
20170620,IF1707,,,IF1708,,,
20170621,IF1707,,,IF1708,,,
20170622,IF1707,,,IF1708,,,
20170623,IF1707,,,IF1708,,,
20170626,IF1707,,,IF1708,,,1.0
20170627,IF1707,,,IF1708,,,1.0
20170628,IF1707,,,IF1708,,,
20170629,IF1707,,,IF1708,,,
20170630,IF1707,,,IF1708,,,
20170703,IF1707,,,IF1708,,,
20170704,IF1707,,,IF1708,,,
20170705,IF1707,,,IF1708,,,
20170706,IF1707,,,IF1708,,,
20170707,IF1707,,,IF1708,,,
20170710,IF1707,,,IF1708,,,
20170711,IF1707,,,IF1708,,,
20170712,IF1707,,,IF1708,,,
20170713,IF1707,,,IF1708,,,
20170714,IF1707,,,IF1708,,,
20170717,IF1707,,,IF1708,,,
20170718,IF1707,,,IF1708,,,
20170719,IF1707,,,IF1708,-1,,
20170720,IF1707,,,IF1708,,,
20170721,IF1707,,,IF1708,,,
20170724,IF1708,,,IF1709,,,
20170725,IF1708,,,IF1709,,,
20170726,IF1708,,,IF1709,,,
20170727,IF1708,,,IF1709,,,
20170728,IF1708,,,IF1709,,,
20170731,IF1708,,,IF1709,,,
20170801,IF1708,,,IF1709,,,
20170802,IF1708,,,IF1709,,,
20170803,IF1708,,,IF1709,,,
20170804,IF1708,,,IF1709,,,
20170807,IF1708,,,IF1709,,,
20170808,IF1708,,,IF1709,,,
20170809,IF1708,,,IF1709,,,
20170810,IF1708,,,IF1709,,,
20170811,IF1708,,,IF1709,,,
20170814,IF1708,,,IF1709,,,
20170815,IF1708,,,IF1709,,,
20170816,IF1708,,,IF1709,,,
20170817,IF1708,,,IF1709,,,
20170818,IF1708,,,IF1709,,,
20170821,IF1709,,,IF1710,,,
20170822,IF1709,,,IF1710,,,
20170823,IF1709,,,IF1710,,,
20170824,IF1709,,,IF1710,,,
20170825,IF1709,,,IF1710,,,
20170828,IF1709,,,IF1710,,,
20170829,IF1709,,,IF1710,,,
20170830,IF1709,,,IF1710,,,
20170831,IF1709,,,IF1710,,,
20170901,IF1709,,,IF1710,,,
20170904,IF1709,,,IF1710,,,
20170905,IF1709,,,IF1710,,,
20170906,IF1709,,,IF1710,,,
20170907,IF1709,,,IF1710,,,
20170908,IF1709,,,IF1710,,,
20170911,IF1709,,,IF1710,,,
20170912,IF1709,,,IF1710,,,
20170913,IF1709,,,IF1710,,,
20170914,IF1709,,,IF1710,,,
20170915,IF1709,,,IF1710,,,
20170918,IF1710,,,IF1711,,,
20170919,IF1710,,,IF1711,,,
20170920,IF1710,,,IF1711,,,
20170921,IF1710,,,IF1711,,,
20170922,IF1710,,,IF1711,,,
20170925,IF1710,,,IF1711,,,
20170926,IF1710,,,IF1711,,,
20170927,IF1710,,,IF1711,,,
20170928,IF1710,,,IF1711,,,
20170929,IF1710,,,IF1711,,,
20171009,IF1710,,,IF1711,,,
20171010,IF1710,,,IF1711,,,
20171011,IF1710,,,IF1711,,,
20171012,IF1710,,,IF1711,,,
20171013,IF1710,,,IF1711,,,
20171016,IF1710,,,IF1711,,,
20171017,IF1710,,,IF1711,,,
20171018,IF1710,,,IF1711,,,
20171019,IF1710,,,IF1711,,,
20171020,IF1710,,,IF1711,,,
20171023,IF1711,,,IF1712,,,
20171024,IF1711,,,IF1712,,,
20171025,IF1711,,,IF1712,,,
20171026,IF1711,,,IF1712,,,
20171027,IF1711,,,IF1712,,,
20171030,IF1711,,,IF1712,,,
20171031,IF1711,,,IF1712,,,
20171101,IF1711,,,IF1712,,,
20171102,IF1711,,,IF1712,,,
20171103,IF1711,,,IF1712,,,
20171106,IF1711,,,IF1712,,,
20171107,IF1711,,,IF1712,,,
20171108,IF1711,,,IF1712,,,
20171109,IF1711,,,IF1712,,,
20171110,IF1711,,,IF1712,,,
20171113,IF1711,,,IF1712,,1,1.0
20171114,IF1711,,,IF1712,,,
20171115,IF1711,,,IF1712,,,
20171116,IF1711,,,IF1712,,,
20171117,IF1711,,,IF1712,,,
20171120,IF1712,,,IF1801,,,
20171121,IF1712,,,IF1801,,,
20171122,IF1712,,,IF1801,,,
20171123,IF1712,-1,,IF1801,-1,,
20171124,IF1712,,,IF1801,,,
20171127,IF1712,,,IF1801,,,
20171128,IF1712,,,IF1801,,,
20171129,IF1712,,,IF1801,,,
20171130,IF1712,,,IF1801,,,-1.0
20171201,IF1712,,,IF1801,,,-1.0
20171204,IF1712,,,IF1801,,,-1.0
20171205,IF1712,,,IF1801,,,
20171206,IF1712,,,IF1801,,,
20171207,IF1712,,,IF1801,,,
20171208,IF1712,,,IF1801,,,
20171211,IF1712,,,IF1801,,,
20171212,IF1712,,,IF1801,,,
20171213,IF1712,,,IF1801,,,
